id,AGE,SEX,Land use mix-diversity,Residential density,Land use mix-access,Street connectivity,Walking/Cycling facilities,Neighborhood aesthetics,Pedestrian and automobile traffic safety,Crime safety
270,16,2,2,2,1,1,1,1,1,2
271,15,2,1,2,1,1,1,2,2,1
272,16,2,2,2,1,1,1,2,1,2
273,16,2,2,2,1,2,2,2,1,2
274,15,2,2,2,1,2,2,2,1,2
275,16,2,2,1,1,1,1,2,1,1
276,16,2,2,2,1,1,1,2,2,2
277,15,1,2,2,1,1,2,2,2,2
278,15,2,2,2,2,1,2,2,2,2
279,16,2,2,2,1,1,2,1,1,2
280,15,2,2,2,1,2,2,1,2,1
281,15,1,2,2,1,2,1,1,2,2
282,16,1,1,2,1,1,1,1,1,2
283,15,1,2,2,1,2,1,1,1,2
284,16,1,2,2,1,2,2,2,1,1
285,15,2,2,2,1,1,1,2,1,1
286,15,2,2,2,1,2,2,1,2,1
287,15,2,2,1,1,1,1,1,1,2
288,15,2,2,2,1,2,2,1,2,2
289,15,2,2,2,1,2,1,2,1,2
290,16,2,2,2,1,2,1,1,1,2
291,16,2,2,2,1,2,2,2,1,2
292,16,2,2,1,1,1,1,2,1,2
293,16,1,2,2,1,1,1,1,1,2
294,16,2,2,2,1,1,2,2,1,2
295,15,2,2,2,1,1,1,1,2,2
296,16,2,2,2,1,1,1,1,1,2
297,15,1,2,2,1,1,2,2,1,2
298,15,2,2,2,1,1,2,2,2,2
299,16,2,1,2,1,1,1,1,1,1
300,16,2,2,1,1,2,1,1,1,2
301,16,2,2,2,1,1,1,2,1,2
302,16,2,2,2,1,1,1,1,1,2
303,16,1,2,2,1,1,1,2,1,2
304,16,2,2,2,1,1,2,2,2,2
305,15,1,2,2,1,1,1,2,1,2
306,16,2,1,2,1,1,2,1,1,2
307,15,2,2,2,1,1,2,2,1,2
308,16,2,2,2,2,2,1,1,2,2
309,15,2,2,2,2,2,2,1,2,2
